Emp No.,AC-No.,No.,Name,Auto-Assign,Date,Timetable,On duty,Off duty,Clock In,Clock Out,Normal,Real time,Late,Early,Absent,OT Time,Work Time,Exception,Must C/In,Must C/Out,Department,NDays,WeekEnd,Holiday,ATT_Time,NDays_OT,WeekEnd_OT,Holiday_OT
EMP001,9001,101,John Doe,,2026-08-10,Regular,09:00,18:00,09:00,18:00,,,,,,,,,,,IT,,,,
EMP001,9001,101,John Doe,,2026-08-11,Regular,09:00,18:00,09:15,18:30,,,00:15,,,,,,,,IT,,,,
EMP001,9001,101,John Doe,,2026-08-12,Regular,09:00,18:00,08:55,17:50,,,,00:10,,,,,IT,,,,
EMP001,9001,101,John Doe,,2026-08-13,Regular,09:00,18:00,09:00,18:00,,,,,,,,,,,IT,,,,
EMP001,9001,101,John Doe,,2026-08-14,Regular,09:00,18:00,09:00,17:00,,,,,,,,,,,IT,,,,
EMP002,9002,102,Jane Smith,,2026-08-10,Regular,09:00,18:00,09:05,18:00,,,,,,,,,,,HR,,,,
EMP002,9002,102,Jane Smith,,2026-08-11,Regular,09:00,18:00,09:00,18:15,,,,,,,,,,,HR,,,,
EMP002,9002,102,Jane Smith,,2026-08-12,Regular,09:00,18:00,08:50,18:00,,,,,,,,,,,HR,,,,
EMP002,9002,102,Jane Smith,,2026-08-13,Regular,09:00,18:00,09:00,18:00,,,,,,,,,,,HR,,,,
EMP002,9002,102,Jane Smith,,2026-08-14,Regular,09:00,18:00,,,,,,,,,,,,HR,,,,
EMP003,9003,103,Bob Lee,,2026-08-10,Regular,09:00,18:00,,,,,,,,,,,,Sales,,,,
EMP003,9003,103,Bob Lee,,2026-08-11,Regular,09:00,18:00,,,,,,,,,,,,Sales,,,,
EMP003,9003,103,Bob Lee,,2026-08-12,Regular,09:00,18:00,,,,,,,,,,,,Sales,,,,
EMP003,9003,103,Bob Lee,,2026-08-13,Regular,09:00,18:00,,,,,,,,,,,,Sales,,,,
EMP003,9003,103,Bob Lee,,2026-08-14,Regular,09:00,18:00,,,,,,,,,,,,Sales,,,,
